Lista de Suajes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,21-06-24 Rev: 81,,
,N°,Dientes,Suaje Nº,Ubicación,Ancho,x,Largo,Cinta,G/L,G/S,P,D,Figura,ML/millar,Area/millar,Material,Comentarios,Proveedor,Fecha/alta
,,76,M-910-124,,"16,0",*,"45,0",239,"3,0","3,3",12,5,Rectángulo,"4,022","0,96",PH01,Laboratorios Pisa,Rotometrics,19/9/2014
,384,46,830-393,E-84,"16,0",*,"54,0",122,0,"0,0",3,1,Rectángulo (especial corta por debajo),"18,000","2,20",,Usar C/830-392 C.S.,,7/3/2003
,,64,830-638,,"16,5",*,"5,1",83,"1,3","3,0",4,25,Rectángulo,"2,032","0,17",,Jabil,Rotometrics,3/10/2022
,,64,M-830-012,,"16,5",*,"5,1",84,"1,33","3,5",4,25,Rectángulo,"2,140","0,18",TT01,EEO,Rotometrics,23/5/2014
,,64,M-830-051,,"16,5",*,"5,1",84,"1,33","3,5",4,25,Rectángulo,"2,140","0,18",PB04,Jabil Circuit,Rotometrics,12/1/2017
,,64,M-830-086,,"16,5",*,"5,1",84,"1,33","3,0",4,25,Rectángulo,"2,032","0,17",KP04,Jabil Circuit de México,Rotometrics,5/7/2018
,,61,910-557,,"16,5",*,"61,5",245,3,"3,1",12,3,Rectángulo,"5,383","1,32",CS01,Alejandro Araujo,AW,13/3/2014
,,96,M-910-034,,"17,0",*,"20,1",250,2,"1,7",12,14,Figura (Hardran),"1,816","0,45",PF01,Se usa con M-910-035,Rotometrics,14/5/2012
,,96,M-910-035,,"17,0",*,"20,1",250,2,"1,7",12,14,Ponchado (Hardran),"1,816","0,45",PF01,(Corte por debajo) Se usa con M-910-034,Rotometrics,14/5/2012
,,96,M-910-045,,"17,0",*,"20,1",250,2,"1,7",12,14,Figura (Hardran),"1,816","0,45",Roll Cover 125010,EEO (Se usa con M-910-046),Rotometrics,16/8/2012
,,96,M-910-046,,"17,0",*,"20,1",250,2,"1,7",12,14,Ponchado (Hardran),"1,816","0,45",Roll Cover 125010,EEO Corte por debajo (Se usa con M-910-045),Rotometrics,16/8/2012
,,96,M-910-071,,"17,0",*,"20,1",250,2,"1,7",12,14,Figura (Hardran),"1,816","0,45",7114F RI-787,EEO (Se usa con M-910-072),Rotometrics,5/3/2013
,,96,M-910-072,,"17,0",*,"20,1",250,2,"1,7",12,14,Ponchado (Hardran),"1,816","0,45",7114F RI-787,EEO Corte por debajo (Se usa con M-910-071),Rotometrics,5/3/2013
,,96,M-910-205,,"17,0",*,"20,1",250,"2,0","1,7",12,14,Figura (Hardran),"1,814","0,45",PF06,EEO,Rotometrics,12/1/2017
,,96,M-910-206,,"17,0",*,"20,1",250,"2,0","1,7",12,14,Figura (Hardran),"1,814","0,45",PF05,EEO,Rotometrics,12/1/2017
,,96,M-910-285,,"17,0",*,"20,1",240,"2,0","1,7",12,14,Figura,"1,814","0,44",PF07,EEO,Rotometrics,21/2/2019
,,96,M-910-323,,"17,0",*,"20,1",240,"2,0","1,7",12,14,Figura,"1,814","0,44",AF1072 Arclad PELB38–BH –G90S),EEO,Rotometrics,13/7/2020
,,98,M-910-400,,"17,0",*,"20,1",240,"2,0","2,1",12,14,Figura (Hadran),"1,852","0,44",PF02,Viñedos Alta (Se usa con M-910-401),Rotometrics,3/10/2022
,,98,M-910-401,,"17,0",*,"20,1",240,"2,0","2,1",12,14,Ponchado (Hadran),"1,852","0,44",PF02,Viñedos Alta (Se usa con M-910-400),Rotometrics,3/10/2022
